BuyEV,PriceBudgetRatio,range,HomeSlowChgWalkTime,WorkSlowChgWalkTime,FastChgTime,TownToFastChgDriveTime,HwyFastChgDistance,gender,race,state,license,edu,employment,hsincome,hhsize,housit,residence,move,all_car,new_car,ev,new_ev,home_parking,hp2,hp3,hp4,hp5,hp6,HomeChgAvai,work_parking,WorkChgAvai,buycar,zipcode,dmileage,long_dist,gascost,age,used_car_owner,used_ev_owner,used,NextCarBudget,PopDensity,orphan,ev_owner,priceshow,zip_median_home_value,state_elec_price,state_high_temp,state_precip
1,1,100,20,20,60,15,70,1,White,Washington,Yes,2,4,4,3,2,1,2,1,1,0,0,,,Driveway or carport,,,,2,5,2,1,98116,10,4,80,38,0,0,1,25000,7522.84,1,0,25000,467900,9.79,57,43.2
1,0.7,300,2,10,15,10,50,0,White,Washington,Yes,5,1,5,4,1,1,2,2,0,0,0,,Detached garage,,,,,2,2,1,1,98335,10,3,100,38,1,0,1,20000,1117.293,1,0,14000,382000,9.79,57,43.2
1,0.85,400,10,0,15,15,70,0,White,North Carolina,Yes,5,1,4,4,2,5,1,2,1,0,0,,,,,,parking lot with unassigned spaces,2,2,2,1,28027,40,1,100,32,1,0,0,25000,808.0502,1,0,21250,178400,11.24,70.5,50.8
0,1,200,10,10,15,10,70,1,White,Washington,Yes,5,1,6,3,2,5,1,1,0,0,0,,,,Assigned parking space,,,2,5,1,2,98107,5,0,40,42,1,0,1,15000,9602.073,1,0,15000,447700,9.79,57,43.2
1,0.85,400,10,20,30,5,no,1,White,Washington,Yes,5,1,3,1,1,1,2,1,1,1,1,Attached garage,,,,,,1,2,2,2,98087,25,0,10,36,0,0,0,40000,5384.441,2,1,34000,273800,9.79,57,43.2
1,0.85,200,10,5,30,10,50,1,White,California,Yes,3,2,2,2,2,4,1,1,0,0,0,,,,Assigned parking space,,,2,5,2,3,92020,10,1,30,40,1,0,0,20000,5187.595,1,0,17000,380200,19.9,71.5,22.3
1,0.85,200,5,1,60,5,30,1,White,Wisconsin,Yes,6,1,3,1,1,5,3,1,0,0,0,,Detached garage,,,,,2,2,1,1,53719,30,3,100,36,1,0,1,10000,2823.032,1,0,8500,223800,14.28,54,34.1
0,1,300,2,3,5,15,no,0,White,Ohio,Yes,2,1,1,2,2,1,1,1,1,0,0,,,Driveway or carport,,,,2,1,2,2,45601,90,1,60,32,0,0,1,5000,169.1378,1,0,5000,114700,12.64,61.7,41.1
0,0.7,100,0,20,60,no,no,1,White,Michigan,Yes,4,1,2,4,2,2,1,2,1,0,0,,,Driveway or carport,,On street,,2,2,2,1,48158,70,4,180,34,1,0,1,10000,77.84872,1,0,7000,195400,16.07,55,33.9
0,0.7,200,2,1,30,10,70,0,White,Oklahoma,Yes,5,1,2,2,1,1,2,1,1,0,0,Attached garage,,Driveway or carport,,,,3,2,2,3,73401,15,2,100,43,0,0,0,30000,106.2053,3,0,21000,103400,10.72,72.3,36.4
0,1,100,3,5,5,no,no,1,White,New Hampshire,Yes,3,1,2,3,2,2,1,2,0,0,0,,,Driveway or carport,,,,2,2,1,3,3038,40,3,100,38,1,0,1,15000,924.4863,1,0,15000,217700,19.63,54.7,47.9
1,0.7,200,5,0,15,no,70,1,White,Vermont,Yes,5,1,3,1,2,2,2,2,2,0,0,Attached garage,,,,,,2,2,2,1,5673,25,0,70,64,0,0,0,40000,46.94477,1,0,28000,337200,18.5,53.4,46
1,0.85,100,2,3,30,15,50,0,Black or African American,Louisiana,Yes,3,6,1,3,2,4,1,1,0,0,0,,,Driveway or carport,,,,2,2,3,1,70601,10,0,50,23,1,0,1,10000,2090.843,1,0,8500,93300,9.37,77.5,59.7
1,0.85,100,0,3,15,15,no,0,White,Nevada,Yes,5,4,3,5,1,1,2,2,2,0,0,Attached garage,,,,,,2,5,3,1,89015,25,0,80,40,0,0,1,20000,1040.008,1,0,17000,146800,11.67,64.6,10.2
0,0.85,200,20,10,60,5,no,0,White,Illinois,Yes,3,1,2,3,1,1,3,1,1,0,0,,Detached garage,,,,,1,2,1,3,60634,5,2,40,52,0,0,0,30000,10445.7,2,0,25500,239200,12.56,62.7,40.7
0,1,200,20,20,30,15,50,1,White,Illinois,No,1,4,3,1,2,5,3,1,0,0,0,,,,,,Parking Lot,2,5,3,2,60139,0,0,0,40,1,0,1,30000,6194.256,1,0,30000,187100,12.56,62.7,40.7
1,0.85,300,2,0,60,10,no,0,White,Colorado,Yes,5,1,2,2,1,1,3,1,0,0,0,,,Driveway or carport,,,,2,2,2,3,80033,0,0,0,35,1,0,1,10000,2893.816,1,0,8500,235000,12.28,60,18
1,0.85,400,3,1,5,no,50,1,White,New Jersey,Yes,5,1,2,2,2,5,1,1,1,0,0,,,,Assigned parking space,,,2,4,2,1,7601,20,3,60,30,0,0,1,10000,10274.18,1,0,8500,299100,15.64,63.6,47.6
0,0.85,100,10,0,15,no,50,0,White,Florida,Yes,4,5,3,2,1,1,1,2,1,0,0,Attached garage,,,,,,2,5,3,1,34203,10,1,90,69,1,0,1,30000,2208.709,1,0,25500,154600,11.37,81.9,54.4
1,0.85,300,0,10,5,15,30,0,White,Ohio,Yes,5,1,3,2,2,1,1,1,0,0,0,,,Driveway or carport,,,,2,2,2,1,45205,15,1,150,25,1,0,1,15000,6687.054,1,0,12750,69700,12.64,61.7,41.1
0,1,300,10,10,5,no,50,0,White,California,Yes,5,1,4,2,2,5,1,1,1,0,0,,,,Assigned parking space,,,3,2,3,2,94107,15,1,80,30,0,0,0,20000,14844.83,3,0,20000,719700,19.9,71.5,22.3
